Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Samuel Little,6/7/1940,United States,1970-2005,50,93,"Was convicted of killing three women, but later investigations linked 31 other murders to him.  Little is now thought to be America's most prolific serial killer. He claims he killed as many as 93 victims total, three above his initial confession of 90, the FBI later confirmed a total of 50 murders linked to Little. The investigations into his crimes are ongoing.",,"The Beast of Ukraine, The Terminator, Citizen O"
Florisvaldo de Oliveira,11/18/1958,Brazil,1982,50,50,Former police officer and vigilante who murdered criminals in the outskirts of São Paulo; murdered by unknown assailants in 2012.,Vigilante,Cabo Bruno
Willy Pickton,10/24/1949,Canada,1983-2002,49,49,"Robert Pickton was a Canadian serial killer who killed 49 women, mainly prostitutes, and disposed of their bodies by feeding them to his pigs. He was convicted of only 6 murders but charged for his proven 49 victims. Unfortunately, much to the anger of the victims families, the remaining 43 charges were stayed or dropped.","Rapist, Torturer, Strangler","The Butcher, Pig Farmer Killer, Pigheaded Killer, Pork Chop Rob"
Gary Ridgway,2/18/1949,United States,1982-2000,49,80,"Truck painter who confessed to killing 71 women. He almost exclusively targeted sex workers from Seattle. Suspected of killing over 90 victims, confessed to 71, convicted of 49. Sentenced to life without parole and currently imprisoned in ADX Florence in Colorado.","Rapist, Necrophiliac, Strangler","The Green River Killer, The Riverman"
Alexander Pichushkin,4/9/1974,Russia,1992-2006,48,60,"Convicted of murdering 48 victims and suspected of killing 60. Claimed to have murdered 62 people, because he did not know that two of his victims had survived; stated goal of becoming Russia's most prolific serial killer. Sentenced to imprisonment for life.",,The Chessboard Killer
Wang Qiang,1/16/1975,China,1995-2003,45,60,"Killed 45 and raped 10 from 1995 to 2003. Executed in 2005. He was raised by his mother abandoned him. His father, an abusive alcoholic. His mother, lived in Yaobao Village, Majiazhai Township, Kaiyuan, China. His father abused alcohol and/or drugs.","Rapist, Necrophile","The Super Killer, No. 54"
Ahmad Suradji,12/12/1952,Indonesia,1986-1997,42,75,Convicted of strangling at least 42 women and girls in a series of ritual slayings he believed would give him magical powers. Executed by firing squad in 2008.,Strangler,
Raman Raghav,,India,1965-1968,41,41,"In the late 1960s Raman Raghav went on a violent rampage in Mumbai, India. He bludgeoned 41 people to death inside their huts while they slept.",,
Tiago Henrique Gomes da Rocha,2/4/1988,Brazil,2011-2014,39,39,Brazilian security guard who confessed to the murders of 39 people. Attempted suicide in prison. Sentenced to 25 years.,,
Moses Sithole,11/17/1964,South Africa,1994-1995,38,38,"Preyed on unemployed women, posing as a businessman and luring his victims with the prospects of a job, before leading them to an isolated place, where he raped, tortured, and murdered them. Sentenced to 2410 years imprisonment with a non-parole period of 930 years.","Rapist, Torturer, ","South Africa's Ted Bundy, The ABC Killer, The South African Strangler"
Serhiy Tkach,9/15/1952,Soviet Union Ukraine,1984-2005,36,90,"A former Ukrainian police criminal investigator, suffocated girls aged between eight and 18 and performed sexual acts on their bodies after they were dead. Claims to have killed 100. Sentenced to imprisonment for life. Died from heart failure in 2018.","Rapist, Strangler, Torturer",The Pologovsky Maniac
Gennady Mikhasevich,4/7/1947,Soviet Union,1971-1985,36,49,"Strangled women. Besides killing, he also robbed his victims of money and valuable items (that he would sometimes give to his wife as a gift). Executed by firing squad in 1987.",,
Hadj Mohammed Mesfewi,,Morocco,1906 and earlier,36,36,"Drugged, mutilated and murdered women; executed 1906.",,Marrakesh Arch-Killer
Vera Renczi,,Romania  Yugoslavia Hungary (alleged),1920-1930,35,35,"Romanian serial killer convicted of killing 35 men through arsenic poisoning but confessed to only killing 32 victims. Renczi is the world's most prolific female serial killer. However, there is very little information about Renczi and her crimes because personal information (criminal history, academic records, and etc.) were not cataloged as well as they are today, making some criminologists believe she was a figure of Romanian folklore rather than an actual person.",,The Black Widow
Ted Bundy,1/24/1989,United States,1974-1978,35,36,"American serial killer known for his charisma and good looks. Bundy officially confessed to 30 homicides, but had confessed to killing 35–36 women in the past, and some estimates run upwards of 100 or more. Infamous for escaping from prison twice and murdering multiple victims in one day; sometimes abducting women from the same location within hours of one another. He was executed by electric chair in 1989.","Rapist, Necrophile, Strangler",Theodore Robert Bundy
Clementine Barnabet,,United States,1911,35,35,An axe murdering voodoo priestess who murdered African-American families at nighttime.,,
John Wayne Gacy,3/17/1942,United States,1972-1978,33,34,"Known to have murdered a minimum of 33 teenage boys and young men between 1972 and 1978, 26 of whom he buried in the crawl space of his Chicago home. Gacy was known as the ""Killer Clown"" due to the fact he often entertained children at social events dressed in a self devised clown costume. Executed by lethal injection in 1994.",,The Killer Clown
Ali Asghar Borujerdi,,Ottoman Empire Iraq Persia,1907-1934,33,33,Killed 33 young adults in Iraq and Iran. Executed by hanging in 1934.,,Asghar the Murderer
Vasili Komaroff,1/1/1871,Soviet Union,1921-1923,33,33,Horse trader who killed 33 men. Executed by firing squad in 1923.,,The Wolf of Moscow
Fernando Hernández Leyva,,Mexico,1982-1999,33,100,"Confessed to 100 murders and six kidnappings at the time of his arrest in 1999 (he had been arrested previously in 1982 and 1986, the second time for murder, but escaped from prison), but later retracted and claimed that he had been beaten by the police and his family threatened in order to force him to confess. Accused of as many as 137 murders in five southern Mexican states, convicted of 33 murders and sentenced 50 years in prison. Tried unsuccessfully to kill himself in prison. If his claim of 100+ victims were true then Leyva would be one of the world's worst murders, currently he is Mexico's worst documented serial killer.",,
Ramadan Abdel Rehim Mansour,,Egypt,1999-2006,32,32,"Gang leader. Raped and tortured homeless children, mostly boys aged 10 to 14 years old, aboard the trains between Cairo, Alexandria, Qalyubia and Beni Sueif. The victims were usually thrown off the moving train when they were dead or in agony; other times they were thrown into the Nile or buried alive. Executed in 2010.","Rapist, Torturer","al-Tourbini (""The Express Train"")"
Volga Maniac,,Russia,2011-2012,32,32,"Killed elderly women in several Russian regions; Kazakhstani native Pavel Shayakhmetov, found guilty of killing two elderly women in Samara, was arrested on suspicion of committing these murders, but police forces believe that the real perpetrator, possibly originating from Tatarstan, is out there.",,
Elias Abuelaza,8/29/1976,United States,2009-2010,5,5,"Elias Abuelazam (Arabic: الياس أبو عزام‎, Hebrew: אליאס אבו אל עזאם‎) is an Israeli-Arab convicted murderer, and a suspect of racially-motivated serial killings and stabbings. He is suspected in a string of eighteen stabbing attacks in the spring and summer of 2010 which resulted in five deaths. Most of the alleged attacks occurred in Genesee County, Michigan (particularly in and around Flint).",N/A,The Serial Slasher
Stephen Akinmurele,3/16/1978,United Kingdom,1995-1998,5,7,"Charged with murdering five elderly people between 1995 and 1998. Considered mentally ill, Akinmurele had a pathological hatred of old people. He was dubbed the cul-de-sac killer for his choice of elderly victims living in quiet suburban streets. Akinmurele committed suicide at Manchester Prison on August 28th 1999.",Strangler,The Cul-de-Sac Killer
Süleyman Aktaş ,N/A,Turkey,1986-1994,5,5," In 1986, he killed police superintendent Nuri Keskin in Antalya, Turkey. In 1994, he killed four of his elderly neighbors. Aktaş killed victims by hammering nails into in the eyes and heads of his victims. Süleyman Aktaş was preventively detained by hospitalization after being diagnosed with paranoid schizophrenia.",Stangler,The Nailing Killer
Charles Albright,8/10/1933,United States,1990-1991,3,3,"Charles Frederick Albright is a psychopath, serial killer child-molestor from Dallas, Texas. Originally from Amarillo raised by adoptive parents, early crime and animal torture lead to crime and several arrest. Albright killed 3 prostitutes, removing the eyeballs, taking them with him as trophies. The trophies this seemingly well-adjusted former teacher took from his victims led the press to dub him the Texas Eyeball Killer.",Torturer,"Texas Eyeball Killer, Dallas Ripper, Dallas Slasher"
Patricia Allanson,8/22/1937,United States,1974-1991,3,3,"During Patricia Allanson's crimes as a serial killer she was known to rob, murder her victims. She was known to kill at the home of the victim. At the time of her crimes she was living with multiple husbands and children. In 1974 Allanson goaded her husband into killing his parents. Then after he was sentenced to prison she set her sights on his grandparents by poisoning them, all in an effort to gain a half million dollar inheritance. After serving a short prison term she returned to her ways by stealing and poisoning an elderly couple that she was caring for, but this time she enlisted the help of her daughter.",N/A,The Deadly Magnolia
Howard Arthur Allen,2/10/1949,United States,1974-1987,3,3,"Howard Arthur Allen killed three elderly people, as well as assault, burglary, and arson. Howard Arthur Allen was sentenced to death by lethal injection in 1988.",N/A,N/A
Dale Anderson,11/24/1951,United States,1978-1988,3,7,"Prior to Dale Anderson's spree he had killed, commited crimes, served time in jail, and served time in prison. He saw a psychologist.

In 1978, Anderson started his killing spree. During his crimes as a serial killer he was known to torture, strangle, stalk, mutilate, and murder his victims. He was known to kill at the home of the victim. He would keep personal items from the victim after the crime. According to ex-FBI wiz Robert Ressler, Anderson likely killed newspaper intern Audrey Cardenas and four other women.","Torturer, Strangler, Stalker",Belleville Murders
John Eric Armstrong,11/23/1973,United States ,1992-1999,5,18,"During John Eric Armstong's crimes as a serial killer he was known to rob, strangle, rape, and murder his victims. At the time of his crimes he was living with his wife Katie Rednoske and her parents and their son. Prior to his spree he had killed and. He saw a psychologist and spent time in a Forensic Hospital. During his education he had academic, social or discipline problems, including being teased or picked on. John Eric Armstrong was sexually, psychologically abused at some point of his life.","Rapist, Strangler","Baby Doll, Opie"
